3,0.101448,-0.682879,-0.241504,-0.046315,-0.00578,-0.043854
3,0.105447,-0.835272,-0.310021,-0.046813,-0.023389,-0.053292
3,0.101552,-0.682266,-0.241018,-0.046481,-0.00578,-0.043893
3,0.101739,-0.682366,-0.241061,-0.046315,-0.005776,-0.043819
3,0.102217,-0.683953,-0.241837,-0.046481,-0.005712,-0.043771
3,0.145827,-2.631944,-0.63317,-0.039675,-0.076796,-0.065314
3,0.163935,-2.792576,-0.66378,-0.038347,-0.071032,-0.079508
2,0.120333,-2.497263,-0.77503,-0.072709,-0.066274,-0.072437
3,0.174673,-2.293088,-0.629947,-0.039177,-0.125842,-0.079503
3,0.148586,-3.386215,-0.830916,-0.162683,-0.123411,-0.088359
3,0.102269,-0.683019,-0.239995,-0.046481,-0.005807,-0.043896
3,0.100561,-2.853085,-0.740423,-0.092131,-0.121626,-0.100032
3,0.103039,-0.684772,-0.24302,-0.046481,-0.005722,-0.04349
3,0.10276,-0.682836,-0.24038,-0.046481,-0.005795,-0.04388
3,0.102766,-0.682628,-0.240277,-0.046481,-0.005802,-0.043959
3,0.19294,-2.652862,-0.622411,-0.037019,-0.133693,-0.082704
3,0.10279,-0.683332,-0.240434,-0.046481,-0.005812,-0.043899
3,0.102915,-0.682336,-0.240398,-0.046481,-0.005797,-0.04395
3,0.102926,-0.68281,-0.239923,-0.046481,-0.005804,-0.043846
3,0.177004,-2.805573,-0.65086,-0.037185,-0.081026,-0.061135
3,0.103168,-0.68327,-0.240282,-0.046481,-0.0058,-0.043872
3,0.125797,-2.567596,-0.637559,-0.041833,-0.096852,-0.062842
3,0.091582,-2.490355,-0.631098,-0.081839,-0.117671,-0.091868
2,0.118297,-2.449202,-0.778461,-0.071713,-0.066997,-0.070409
3,0.103329,-0.682349,-0.240316,-0.046481,-0.005795,-0.043896
1,0.215531,-2.738118,-1.108141,-0.088147,-0.105929,-0.104822
3,0.125476,-2.709567,-0.696903,-0.129316,-0.101708,-0.082109
3,0.103782,-0.683088,-0.240492,-0.046481,-0.005811,-0.043893
3,0.14846,-2.691596,-0.642452,-0.039343,-0.080334,-0.065793
3,0.074388,-2.684385,-0.604165,-0.175133,-0.105334,-0.09391
3,0.103842,-0.682931,-0.240441,-0.046481,-0.005805,-0.043939
3,0.122302,-1.475219,-0.589273,-0.164509,-0.063846,-0.087865
3,0.103944,-0.682762,-0.240315,-0.046315,-0.005814,-0.043889
2,0.124372,-2.490032,-0.757152,-0.063496,-0.062597,-0.066511
3,0.115274,-2.700925,-0.663035,-0.036853,-0.108256,-0.083697
3,0.103914,-0.682009,-0.239335,-0.046481,-0.005743,-0.043535
3,0.104037,-0.68237,-0.240544,-0.046481,-0.005791,-0.043927
3,0.104339,-0.68286,-0.240617,-0.046813,-0.005773,-0.043952
3,0.104599,-0.68399,-0.24037,-0.046481,-0.005684,-0.043455
2,0.126535,-2.513784,-0.753861,-0.071215,-0.063823,-0.076997
3,0.104307,-0.682982,-0.240478,-0.046481,-0.005815,-0.043961
3,0.104422,-0.682714,-0.240513,-0.046647,-0.005811,-0.043936
3,0.104727,-0.6846,-0.24079,-0.046481,-0.005844,-0.043986
3,0.155389,-3.322313,-0.563905,-0.031208,-0.075965,-0.076391
3,0.104509,-0.682673,-0.239896,-0.046481,-0.005742,-0.043612
3,0.148552,-2.608003,-0.633239,-0.039841,-0.076773,-0.065434
3,0.1049,-0.682477,-0.240099,-0.046481,-0.005744,-0.043625
3,0.223649,-2.890328,-0.814167,-0.127158,-0.133582,-0.092309
3,0.105069,-0.682375,-0.239975,-0.046481,-0.005752,-0.043621
3,0.105212,-0.682292,-0.239905,-0.046481,-0.005747,-0.043566
3,0.142111,-2.499605,-0.629959,-0.041999,-0.132317,-0.080697
3,0.139382,-2.838402,-0.645106,-0.039841,-0.071891,-0.061654
3,0.132709,-2.792233,-0.645517,-0.039509,-0.071638,-0.066352
3,0.105955,-0.681802,-0.239975,-0.046481,-0.005743,-0.043586
3,0.105813,-0.677733,-0.239758,-0.046481,-0.006074,-0.044112
3,0.10588,-0.677513,-0.23952,-0.046481,-0.006103,-0.044155
3,0.10808,-0.834785,-0.307988,-0.046647,-0.024429,-0.050397
3,0.106246,-0.677547,-0.239986,-0.046481,-0.006059,-0.0441
3,0.106601,-0.68091,-0.240363,-0.046481,-0.006,-0.044072
3,0.106456,-0.67728,-0.239978,-0.046481,-0.006073,-0.044125
3,0.136438,-2.674388,-0.6422,-0.039343,-0.073475,-0.066197
3,0.101611,-0.774214,-0.232189,-0.039509,-0.005362,-0.047877
3,0.154553,-2.557329,-0.629849,-0.040173,-0.076284,-0.065945
2,0.140427,-2.968287,-0.722577,-0.079432,-0.069711,-0.086931
3,0.113379,-0.785784,-0.314799,-0.051461,-0.022563,-0.052014
3,0.135313,-1.355041,-0.466424,-0.140604,-0.095457,-0.096101
3,0.107036,-0.676728,-0.239163,-0.046481,-0.00611,-0.044208
3,0.107153,-0.676512,-0.23926,-0.046481,-0.006104,-0.044166
3,0.17387,-2.168133,-0.763813,-0.161853,-0.081795,-0.076115
3,0.18061,-3.189917,-0.898958,-0.158367,-0.11333,-0.090098
3,0.1564,-2.106774,-0.833117,-0.155378,-0.080453,-0.081678
2,0.132413,-2.58715,-0.781539,-0.068725,-0.067208,-0.06801
2,0.145135,-2.537039,-0.774634,-0.064741,-0.064009,-0.069893
